Country Name,City,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Updated Year,Id
India,Satna,2016,31.5,71,7,2022,974
India,Satna,2017,31,80,7,2022,975
India,Satna,2018,48,105,8,2022,976
India,Shillong,2018,12,38,12,2022,977
India,Shillong,2019,7.5,36.25,12,2022,978
India,Shimaga,2017,17,36,6,2022,979
India,Shimaga,2018,17,44,6,2022,980
India,Shimaga,2019,12,33,6,2022,981
India,Shimla,2018,33,60,26,2022,982
India,Shimla,2019,26,59,26,2022,983
India,Siliguri,2017,24,59,18,2022,984
India,Siliguri,2018,35,72,17,2022,985
India,Siliguri,2019,32,80,33,2022,986
India,Silvassa,2016,73,37,32,2022,987
India,Silvassa,2017,32.33,109.33,24,2022,988
India,Silvassa,2018,42.5,124.5,34,2022,989
India,Silvassa,2019,39.5,105,27,2022,990
India,Singrauli,2016,42.33,82.67,24,2022,991
India,Singrauli,2017,50.33,108.67,31,2022,992
India,Singrauli,2018,52.33,111.67,30,2022,993
India,Singrauli,2019,66.67,191.67,48,2022,994
India,Srikakulam,2019,36,66.75,19,2022,995
India,Sunder Nagar,2017,41,72.5,11,2022,996
India,Sunder Nagar,2018,47,84,10,2022,997
India,Sunder Nagar,2019,38,72.5,9,2022,998
India,Surat,2016,31.33,92,22,2022,999
India,Surat,2017,35.33,106.33,26,2022,1000
India,Surat,2018,56.33,176.33,29,2022,1001
India,Surat,2019,40,127.67,27,2022,1002
India,Talcher,2016,50.5,105,24,2022,1003
India,Talcher,2017,45,96,31,2022,1004
India,Talcher,2018,50,110.5,29,2022,1005
India,Talcher,2019,46.5,106,29,2022,1006
India,Tilamol,2016,21,46,11,2022,1007
India,Tilamol,2017,32,63,14,2022,1008
India,Tilamol,2018,44,81,14,2022,1009
India,Tilamol,2019,35,67,14,2022,1010
India,Timukuru,2017,58,125,31,2022,1011
India,Tirupati,2019,28.5,53.25,15,2022,1012
India,Trichy,2016,27,94.6,20,2022,1013
India,Trichy,2018,52.6,110.2,23,2022,1014
India,Trichy,2019,45.6,72.6,18,2022,1015
India,Tuem,2016,19,61,9,2022,1016
India,Tuem,2017,18,58,15,2022,1017
India,Tuem,2018,17,54,13,2022,1018
India,Tuem,2019,29,57,14,2022,1019
India,Tura,2019,7,31,12,2022,1020
India,Tuticorin,2018,25,102,11,2022,1021
India,Tuticorin,2019,23,85.67,11,2022,1022
India,Ujjain,2016,43.5,90.25,16,2022,1023
India,Ujjain,2017,37.6,75.25,15,2022,1024
India,Ujjain,2018,34.25,82.75,15,2022,1025
India,Usgao,2016,21,64,11,2022,1026
India,Usgao,2017,24,74,14,2022,1027
India,Usgao,2018,19,59,13,2022,1028
India,Usgao,2019,33,64,14,2022,1029
India,Vadodara,2016,30,92.67,24,2022,1030
India,Vadodara,2017,36.4,108.2,23,2022,1031
India,Vadodara,2018,60,188.2,25,2022,1032
India,Vadodara,2019,37,130.8,26,2022,1033
India,Vapi,2016,32.5,104.5,24,2022,1034
India,Vapi,2017,36.5,114,25,2022,1035
India,Vapi,2018,53.5,171,25,2022,1036
India,Vapi,2019,40,119.5,25,2022,1037
India,Vasco,2016,55.5,102.5,10,2022,1038
India,Vasco,2019,41,81,13,2022,1039
India,Vijaywada,2018,29.67,77.22,21,2022,1040
India,Vijaywada,2019,26.67,72.67,19,2022,1041
India,Vishakhapatnam,2018,48.62,77.56,21,2022,1042
India,Vishakhapatnam,2019,32.75,75.67,19,2022,1043
India,Vizianagaram,2019,35,67,19,2022,1044
India,Warangal,2018,41,85,38,2022,1045
Ireland,Dublin City,2010,11.16,15.81,29,2022,1046
Italy,Ancona,2010,22.99,41.33,44,2022,1047
Italy,Aosta,2010,14.59,25.67,29,2022,1048
Italy,Arezzo,2010,15.88,27.13,35,2022,1049
Italy,Bergamo,2010,27.36,35.3,38,2022,1050
Italy,Bologna,2010,19.39,29.26,52,2022,1051
Italy,Bolzano,2010,14.83,21,39,2022,1052
Italy,Borgofranco Sul Po,2010,26.02,32.76,22,2022,1053
Italy,Brescia,2010,30.73,39.46,54,2022,1054
Italy,Calusco D'adda,2010,26.89,30.55,26,2022,1055
Italy,Campi Salentina,2010,15.33,29.15,11,2022,1056
Italy,Casirate D'adda,2010,31.01,38.28,35,2022,1057
Italy,Chiaravalle,2010,17.48,34.67,34,2022,1058
Italy,Civitanova Marche,2010,11.67,17.2,11,2022,1059
Italy,Cortina Sulla Strada Del Vino,2010,17.28,18.98,33,2022,1060
Italy,Egna,2010,16.35,19.87,45,2022,1061
Italy,Fabriano,2010,19.94,32.85,18,2022,1062
Italy,Faenza,2010,19.88,28.24,26,2022,1063
Italy,Falconara Marittima,2010,20.88,42.73,29,2022,1064
Italy,Feltre,2010,24.44,27.17,18,2022,1065
Italy,Ferrara,2010,20.48,29.9,35,2022,1066
Italy,Fontechiari,2010,15.23,19.02,8,2022,1067
Italy,Forli',2010,17.86,27.81,36,2022,1068
Italy,Galatina,2010,15.75,21.17,19,2022,1069
Italy,Greve In Chianti,2010,15.94,26.98,15,2022,1070
Italy,Grosseto,2010,10.55,27.23,27,2022,1071
Italy,Guastalla,2010,24.05,31.78,27,2022,1072
Italy,Jesi,2010,23.73,39.52,33,2022,1073
Italy,La Spezia,2010,15.93,23.78,27,2022,1074
Italy,Laces,2010,15.77,17.78,18,2022,1075
Italy,Laives,2010,16.78,21.2,28,2022,1076
Italy,Langhirano,2010,15.63,19.91,19,2022,1077
Italy,Lecce,2010,12.23,24.14,18,2022,1078
Italy,Lecco,2010,19.63,26.49,41,2022,1079
Italy,Livorno,2010,13.89,19.79,26,2022,1080
Italy,Lodi,2010,25.89,34.09,33,2022,1081
Italy,Maranello,2010,21.15,33.03,37,2022,1082
Italy,Merano,2010,13.84,21.57,28,2022,1083
Italy,Merate,2010,28.09,39.89,49,2022,1084
Italy,Mezzolombardo,2010,15.12,21.72,25,2022,1085
Italy,Milano,2010,25.13,39.6,61,2022,1086
Italy,Modena,2010,21.48,34.64,51,2022,1087
Italy,Molinella,2010,21.01,25.1,19,2022,1088
Italy,Monza,2010,33.38,40.43,41,2022,1089
Italy,Novara,2019,17.04,25.51,31,2022,1090
Italy,Padova,2010,30.73,38.51,41,2022,1091
Italy,Parma,2010,20.25,32.82,40,2022,1092
Italy,Perugia,2010,13.66,20.59,31,2022,1093
Italy,Pesaro,2010,17.93,31.94,33,2022,1094
Italy,Piacenza,2010,23.56,33.06,37,2022,1095
Italy,Ponti Sul Mincio,2010,25.63,35.13,32,2022,1096
Italy,Ravenna,2010,17.88,28.34,27,2022,1097
Italy,Reggio Nell'emilia,2010,21.45,33.08,39,2022,1098
Italy,Renon,2010,8.28,9.72,3,2022,1099
Italy,Rimini,2010,20.62,31.19,36,2022,1100
Italy,Roma,2010,18.75,30.75,51,2022,1101
Italy,Saronno,2010,28.61,39,25,2022,1102
Italy,Savona,2010,14.46,20.06,23,2022,1103
Italy,Schivenoglia,2010,23.68,32.04,20,2022,1104
Italy,Sondrio,2010,21.57,25.09,31,2022,1105
Italy,Spoleto,2010,13.77,22.3,26,2022,1106
Italy,Taranto,2010,14.57,25.27,16,2022,1107
Italy,Terni,2010,16.88,25.77,30,2022,1108
Italy,Torino,2010,28.71,39.39,61,2022,1109
Italy,Trento,2010,16.91,24.15,47,2022,1110
Italy,Udine,2010,17.22,25.19,36,2022,1111
Italy,Varese,2010,25.7,30.9,34,2022,1112
Italy,Velturno,2010,16.33,22.24,67,2022,1113
Italy,Verona,2010,23.72,33.96,33,2022,1114
Italy,Vicenza,2010,29.26,37.34,40,2022,1115
Italy,Vinchio,2010,20.75,27.41,22,2022,1116
Jordan,Amman,2019,26.83,59.13,27,2022,1117
Kuwait,Ahmadi Governorate,2017,85.3,143.87,43,2022,1118
Kuwait,Ahmadi Governorate,2019,45.1,81.97,24,2022,1119
Kuwait,Ahmadi Governorate,2020,41.15,115.05,33,2022,1120
Kuwait,Al-Ahmadi,2015,79.36,137.94,71,2018,1121
Kuwait,Al-Jahra,2015,31.69,114,40,2018,1122
Kuwait,Al-Jahra,2016,11.83,130.09,29,2018,1123
Kuwait,Capital Governorate,2019,25.9,112,29,2022,1124
Kuwait,Capital Governorate,2020,30.15,99.05,30,2022,1125
Kuwait,Hawalli Governorate,2019,48.3,127.7,20,2022,1126
Kuwait,Hawalli Governorate,2020,28,101.15,20,2022,1127
Kuwait,Jahra Governorate,2017,49.5,148.3,28,2022,1128
Kuwait,Jahra Governorate,2019,44.6,126.37,31,2022,1129
Kuwait,Jahra Governorate,2020,51.87,142.1,21,2022,1130
Kuwait,Saad Al-Abdullah,2015,80.75,130.1,72,2018,1131
Kuwait,Saad Al-Abdullah,2016,51.24,62,47,2018,1132
Latvia,Riga,2010,27.47,38.97,42,2022,1133
Lebanon,Beirut,2014,19,56,59,2022,1134
Lebanon,Beirut,2015,15,43,47,2022,1135
Lithuania,Kaunas,2010,19.88,30.33,13,2022,1136
Lithuania,Kaunas,2013,13.01,29.8,15,2022,1137
Lithuania,Kaunas,2014,15.24,28.88,15,2022,1138
Lithuania,Kaunas,2015,12.7,24.51,15,2022,1139
Lithuania,Kaunas,2016,11.81,22.99,16,2022,1140
Lithuania,Klaipeda,2010,13.27,26.74,21,2022,1141
Lithuania,Klaipeda,2013,20.36,32.05,20,2022,1142
Lithuania,Klaipėda,2014,13.35,33.86,21,2022,1143
Lithuania,Klaipėda,2015,12.7,30.8,19,2022,1144
Lithuania,Klaipėda,2016,11.55,24.47,21,2022,1145
Lithuania,Vilnius,2010,14.42,26.34,21,2022,1146
Lithuania,Vilnius,2013,19.35,26.56,24,2022,1147
Lithuania,Vilnius,2014,19.5,28.09,23,2022,1148
Lithuania,Vilnius,2015,19.07,26.98,24,2022,1149
Lithuania,Vilnius,2016,16.73,26.52,25,2022,1150
Luxembourg,Bekerich,2010,16.34,14.79,15,2022,1151
Luxembourg,Esch-Sur-Alzette,2010,9.91,21.56,29,2022,1152
Luxembourg,Luxembourg,2010,15.97,21.03,48,2022,1153
Malta,Gharb,2010,11.33,32.44,3,2022,1154
Malta,Gharb,2018,8.6,19.6,3,2022,1155
Malta,Msida,2010,20.02,45.34,35,2022,1156
Malta,Msida,2018,14.4,43.1,35,2022,1157
Malta,Zejtun,2018,12.1,31.9,14,2022,1158
Mexico,Aguascalientes,2018,25,41.5,41,2022,1159
Mexico,Alvaro Obregon,2012,20.92,42.29,26,2018,1160
Mexico,Alvaro Obregon,2013,22.62,42.86,25,2018,1161
Mexico,Alvaro Obregon,2014,20.55,39.14,25,2018,1162
Mexico,Alvaro Obregon,2015,21.34,38.55,24,2018,1163
Mexico,Ecatepec De Morelos,2010,22.02,71.18,29,2018,1164
Mexico,Ecatepec De Morelos,2011,24.77,75.15,29,2018,1165
Mexico,Ecatepec De Morelos,2012,26.63,61.45,29,2018,1166
Mexico,Ecatepec De Morelos,2013,29.26,61.45,29,2018,1167
Mexico,Ecatepec De Morelos,2014,28.13,55.87,27,2018,1168
Mexico,Ecatepec De Morelos,2015,27,56.23,24,2018,1169
Mexico,Ecatepec De Morelos,2016,25.98,56.69,27,2018,1170
Mexico,Iztapalapa,2012,24.93,49.2,30,2018,1171
Mexico,Iztapalapa,2013,25.79,48.54,30,2018,1172
Mexico,Iztapalapa,2014,24.81,47.06,29,2018,1173
Mexico,Iztapalapa,2015,26.09,46.96,29,2018,1174
Mexico,Iztapalapa,2016,26.07,49.62,29,2018,1175
Mexico,Mexicali,2018,25.5,91.87,44,2022,1176
Mexico,Mexico City,2010,23.6,48.25,37,2018,1177
Mexico,Mexico City,2011,26.68,57.25,35,2018,1178
Mexico,Mexico City,2012,23.44,45.87,32,2018,1179
Mexico,Mexico City,2013,26.17,44.37,30,2018,1180
Mexico,Mexico City,2014,22.93,41.71,30,2018,1181
Mexico,Mexico City,2015,23.06,39.35,28,2018,1182
Mexico,Mexico City,2016,21.73,38.72,28,2018,1183
Mexico,Mexico City,2018,22.7,42.5,84,2022,1184
Mexico,Mexico City,2018,22.7,42.5,84,2022,1185
Mexico,Pachuca,2018,14,21,41,2022,1186
Mexico,Tlalnepantla De Baz,2010,23.32,50.96,33,2018,1187
Mexico,Tlalnepantla De Baz,2011,26.62,54.19,34,2018,1188
Mexico,Tlalnepantla De Baz,2012,27.09,57.79,35,2018,1189
Mexico,Tlalnepantla De Baz,2013,27.18,56.33,33,2018,1190
Mexico,Tlalnepantla De Baz,2014,24.51,52.15,32,2018,1191
Mexico,Tlalnepantla De Baz,2015,27.34,52.06,33,2018,1192
Mexico,Tlalnepantla De Baz,2016,25.57,53.22,33,2018,1193
Mexico,Zona Metropolitana Del Valle De Toluca,2018,31.33,83,78,2022,1194
Netherlands,Amsterdam,2010,17.63,25.39,38,2022,1195
Netherlands,Breda,2010,16.72,28.36,27,2022,1196
Netherlands,Den Haag,2010,16.61,28.15,38,2022,1197
Netherlands,Eindhoven,2010,16.98,27.03,37,2022,1198
Netherlands,Groningen,2010,17.62,24.88,25,2022,1199
Netherlands,Heerlen,2010,20.04,26.3,38,2022,1200
Netherlands,Munnekezijl,2010,13.76,21.83,10,2022,1201
Netherlands,Nieuwer Ter Aa,2010,18.05,26.9,35,2022,1202
Netherlands,Nijmegen,2010,17.28,25.07,35,2022,1203
Netherlands,Rotterdam,2010,17.44,27.75,41,2022,1204
Netherlands,Utrecht,2010,17.32,27.36,37,2022,1205
Netherlands,Vlaardingen,2010,17.06,26.69,38,2022,1206
Netherlands,Vredepeel,2010,17.91,24.56,18,2022,1207
Netherlands,Wekerom,2010,18.59,24.39,19,2022,1208
Netherlands,Wieringerwerf,2010,13.8,21.97,15,2022,1209
Netherlands,Zaandam,2010,16.33,22.74,25,2022,1210
Norway,Bergen,2010,11.84,22.3,48,2022,1211
Norway,Brevik,2017,6.21,11.79,15,2022,1212
Norway,Brevik,2018,7.45,13.36,14,2022,1213
Norway,Brevik,2019,6.93,12.67,13,2022,1214
Norway,Elverum,2017,6.7,16.47,18,2022,1215
Norway,Elverum,2018,7.64,20.42,18,2022,1216
Norway,Elverum,2019,6.93,16.88,18,2022,1217
Norway,Hurdal Municipality,2014,3.83,5.76,2,2022,1218
Norway,Hurdal Municipality,2015,2.72,4.12,2,2022,1219
Norway,Hurdal Municipality,2016,2.59,4,2,2022,1220
Norway,Hurdal Municipality,2017,2.36,3.87,2,2022,1221
Norway,Hurdal Municipality,2018,3.19,4.87,2,2022,1222
Norway,Hurdal Municipality,2019,2.67,4.61,2,2022,1223
Norway,Lillehammer,2010,9.38,21.44,27,2022,1224
Norway,Lillestrom,2016,8.08,12.28,20,2022,1225
Norway,Lillestrom,2017,5.85,9.45,19,2022,1226
Norway,Lillestrom,2018,6.86,9.87,18,2022,1227
Norway,Lillestrom,2019,5.07,9.3,17,2022,1228
Norway,Loddefjord,2016,5.5,10.59,29,2022,1229
Norway,Loddefjord,2017,4.67,9.39,28,2022,1230
Norway,Loddefjord,2018,5.41,10.87,29,2022,1231
Norway,Loddefjord,2019,5.49,11.23,25,2022,1232
Norway,Moss,2019,8.24,15.09,21,2022,1233
Norway,Oslo,2010,11.82,22.91,52,2022,1234
Norway,Rådal,2018,6.22,16.84,31,2022,1235
Norway,Rådal,2019,6,14.19,28,2022,1236
Norway,Skien,2010,10.57,23.19,27,2022,1237
Norway,Stavanger,2010,10.26,19.93,30,2022,1238
Norway,Tiller,2010,9.14,20.95,45,2022,1239
Norway,Todalen,2014,3.24,4.25,0,2022,1240
Norway,Todalen,2015,1.51,2.32,0,2022,1241
Norway,Todalen,2016,1.67,2.57,0,2022,1242
Norway,Todalen,2017,1.47,2.17,1,2022,1243
Norway,Todalen,2018,2.23,3.17,1,2022,1244
Norway,Todalen,2019,1.94,2.96,1,2022,1245
Norway,Trondheim,2010,10.84,23.19,38,2022,1246
Norway,Ulset,2016,3.88,6.97,8,2022,1247
Norway,Ulset,2017,3.24,5.44,7,2022,1248
Norway,Ulset,2018,4.13,6.85,8,2022,1249
Norway,Ulset,2019,4.16,6.76,6,2022,1250
Poland,Bialystok,2010,23.73,27.72,12,2022,1251
Poland,Bielsko Biala,2010,42.35,47.35,24,2022,1252
Poland,Bydgoszcz,2010,27.75,28,28,2022,1253
Poland,Czestochowa,2010,40.94,38.95,28,2022,1254
Poland,Diabla Gora,2010,15.17,18.75,4,2022,1255
Poland,Diabla Gora,2013,12.84,15.67,3,2022,1256
Poland,Diabla Gora,2014,13.85,19.99,4,2022,1257
Poland,Diabla Gora,2015,12.48,17.29,4,2022,1258
Poland,Elblag,2010,22.68,26.48,14,2022,1259
Poland,Gdansk,2010,20.51,26.78,21,2022,1260
Poland,Gorzow Wlkp.,2010,18.8,35.82,21,2022,1261
Poland,Katowice,2010,42.14,52.02,33,2022,1262
Poland,Kedzierzyn-Kozle,2010,39.52,43.69,22,2022,1263
Poland,Kielce,2010,31.23,41.25,28,2022,1264
Poland,Koszalin,2010,15.35,24.98,19,2022,1265
Poland,Krakow,2010,61.13,65.95,50,2022,1266
Poland,Legnica,2010,30.76,43.06,21,2022,1267
Poland,Lodz,2010,22.9,40.78,27,2022,1268
Poland,Nisko,2010,26.27,38.22,30,2022,1269
Poland,Olsztyn,2010,18.41,21.62,17,2022,1270
Poland,Plock,2010,27.91,34.83,14,2022,1271
Poland,Rzeszow,2010,26.16,39.94,23,2022,1272
Poland,Szczecin,2010,19.46,31.22,23,2022,1273
Poland,Tarnow,2010,32.29,44.91,23,2022,1274
Poland,Warszawa,2010,30.82,39.34,33,2022,1275
Poland,Wroclaw,2010,34.78,54.9,13,2022,1276
Poland,Zakopane,2010,37.39,43.3,21,2022,1277
Portugal,Almada Aml Sul,2010,9.28,25.92,28,2022,1278
Portugal,Chamusca Vale Do Tejo E Oeste,2010,9.2,16.58,7,2022,1279
Portugal,Funchal,2010,9.03,25.6,15,2022,1280
Portugal,Fundao Centro Interior,2010,6.85,14.52,4,2022,1281
Portugal,Leiria,2010,11.84,20.33,6,2022,1282
Portugal,Lisboa Aml Norte,2010,13.82,32.93,37,2022,1283
Portugal,Lourinha,2010,6.5,16.6,7,2022,1284
Portugal,Maia Porto Litoral,2010,8.73,25.4,38,2022,1285
Portugal,Palmela,2010,6.76,19,10,2022,1286
Portugal,Porto,2010,8.15,24.96,27,2022,1287
Portugal,Porto Santo,2010,1.78,18.96,3,2022,1288
Portugal,Setubal,2010,9.25,22.29,30,2022,1289
Qatar,Doha,2017,44,148,29,2022,1290
Qatar,Doha,2018,44,181,47,2022,1291
Qatar,Doha,2019,41,208,42,2022,1292
Qatar,Doha,2020,33,108,28,2022,1293
Qatar,Doha,2021,38,150,30,2022,1294
Republic of Korea,Busan,2015,26,46,38,2022,1295
Republic of Korea,Busan,2016,27,44,39,2022,1296
Republic of Korea,Busan,2017,26,44,38,2022,1297
Republic of Korea,Busan,2018,23,41,36,2022,1298
Republic of Korea,Busan,2019,21,36,36,2022,1299
Republic of Korea,Busan,2020,17,30,30,2022,1300
Republic of Korea,Chungcheongbuk-Do,2015,30,51,38,2022,1301
Republic of Korea,Chungcheongbuk-Do,2016,26,45,38,2022,1302
Republic of Korea,Chungcheongbuk-Do,2017,27,44,36,2022,1303
Republic of Korea,Chungcheongbuk-Do,2018,27,44,38,2022,1304
Republic of Korea,Chungcheongbuk-Do,2019,28,44,34,2022,1305
Republic of Korea,Chungcheongbuk-Do,2020,21,34,26,2022,1306
Republic of Korea,Chungcheongnam-Do,2015,29,46,34,2022,1307
Republic of Korea,Chungcheongnam-Do,2016,26,48,36,2022,1308
Republic of Korea,Chungcheongnam-Do,2017,23,44,30,2022,1309
Republic of Korea,Chungcheongnam-Do,2018,21,39,28,2022,1310
Republic of Korea,Chungcheongnam-Do,2019,26,44,26,2022,1311
Republic of Korea,Chungcheongnam-Do,2020,21,37,24,2022,1312
Republic of Korea,Daegu,2015,26,46,39,2022,1313
Republic of Korea,Daegu,2016,24,43,38,2022,1314
Republic of Korea,Daegu,2017,23,42,38,2022,1315
Republic of Korea,Daegu,2018,22,39,36,2022,1316
Republic of Korea,Daegu,2019,22,39,36,2022,1317
Republic of Korea,Daegu,2020,20,34,32,2022,1318
Republic of Korea,Daejeon,2015,28,46,36,2022,1319
Republic of Korea,Daejeon,2016,21,44,36,2022,1320
Republic of Korea,Daejeon,2017,21,45,34,2022,1321
Republic of Korea,Daejeon,2018,22,44,36,2022,1322
Republic of Korea,Daejeon,2019,22,42,36,2022,1323
Republic of Korea,Daejeon,2020,18,33,34,2022,1324
Republic of Korea,Gangwon-Do,2015,26,50,34,2022,1325
Republic of Korea,Gangwon-Do,2016,28,47,34,2022,1326
Republic of Korea,Gangwon-Do,2017,26,44,30,2022,1327
Republic of Korea,Gangwon-Do,2018,23,38,30,2022,1328
Republic of Korea,Gangwon-Do,2019,21,37,21,2022,1329
Republic of Korea,Gangwon-Do,2020,17,30,19,2022,1330
Republic of Korea,Gwangju,2015,26,43,36,2022,1331
Republic of Korea,Gwangju,2016,23,40,34,2022,1332
Republic of Korea,Gwangju,2017,24,40,36,2022,1333
Republic of Korea,Gwangju,2018,24,41,32,2022,1334
Republic of Korea,Gwangju,2019,23,42,34,2022,1335
Republic of Korea,Gwangju,2020,18,30,26,2022,1336
Republic of Korea,Gyeonggi-Do,2015,26,53,55,2022,1337
Republic of Korea,Gyeonggi-Do,2016,28,53,51,2022,1338
Republic of Korea,Gyeonggi-Do,2017,27,51,51,2022,1339
Republic of Korea,Gyeonggi-Do,2018,25,44,47,2022,1340
Republic of Korea,Gyeonggi-Do,2019,26,46,45,2022,1341
Republic of Korea,Gyeonggi-Do,2020,21,39,38,2022,1342
Republic of Korea,Gyeongsangbuk-Do,2015,28,45,34,2022,1343
Republic of Korea,Gyeongsangbuk-Do,2016,23,40,32,2022,1344
Republic of Korea,Gyeongsangbuk-Do,2017,23,40,28,2022,1345
Republic of Korea,Gyeongsangbuk-Do,2018,24,44,28,2022,1346
Republic of Korea,Gyeongsangbuk-Do,2019,20,39,24,2022,1347
Republic of Korea,Gyeongsangbuk-Do,2020,17,31,21,2022,1348
Republic of Korea,Gyeongsangnam-Do,2015,25,46,36,2022,1349
Republic of Korea,Gyeongsangnam-Do,2016,25,45,38,2022,1350
Republic of Korea,Gyeongsangnam-Do,2017,23,43,36,2022,1351
Republic of Korea,Gyeongsangnam-Do,2018,20,41,34,2022,1352
Republic of Korea,Gyeongsangnam-Do,2019,19,38,30,2022,1353
Republic of Korea,Gyeongsangnam-Do,2020,16,29,26,2022,1354
Republic of Korea,Incheon,2015,29,53,49,2022,1355
Republic of Korea,Incheon,2016,26,49,47,2022,1356
Republic of Korea,Incheon,2017,25,46,45,2022,1357
Republic of Korea,Incheon,2018,22,40,47,2022,1358
Republic of Korea,Incheon,2019,23,43,45,2022,1359
Republic of Korea,Incheon,2020,19,34,38,2022,1360
Republic of Korea,Jeju-Do,2015,23,44,21,2022,1361
Republic of Korea,Jeju-Do,2016,22,41,23,2022,1362
Republic of Korea,Jeju-Do,2017,22,37,21,2022,1363
Republic of Korea,Jeju-Do,2018,19,35,17,2022,1364
Republic of Korea,Jeju-Do,2019,19,35,17,2022,1365
Republic of Korea,Jeju-Do,2020,15,30,15,2022,1366
Republic of Korea,Jeollabuk-Do,2015,35,50,30,2022,1367
Republic of Korea,Jeollabuk-Do,2016,31,51,30,2022,1368
Republic of Korea,Jeollabuk-Do,2017,29,48,28,2022,1369
Republic of Korea,Jeollabuk-Do,2018,25,43,24,2022,1370
Republic of Korea,Jeollabuk-Do,2019,26,43,23,2022,1371
Republic of Korea,Jeollabuk-Do,2020,20,33,21,2022,1372
Republic of Korea,Jeollanam-Do,2015,25,38,30,2022,1373
Republic of Korea,Jeollanam-Do,2016,24,37,28,2022,1374
Republic of Korea,Jeollanam-Do,2017,20,36,26,2022,1375
Republic of Korea,Jeollanam-Do,2018,20,35,24,2022,1376
Republic of Korea,Jeollanam-Do,2019,19,33,21,2022,1377
Republic of Korea,Jeollanam-Do,2020,15,28,19,2022,1378
Republic of Korea,Sejong Special Autonomy City,2016,23,46,41,2022,1379
Republic of Korea,Sejong Special Autonomy City,2017,23,47,38,2022,1380
Republic of Korea,Sejong Special Autonomy City,2018,21,40,34,2022,1381
Republic of Korea,Sejong Special Autonomy City,2019,26,44,36,2022,1382
Republic of Korea,Sejong Special Autonomy City,2020,20,36,32,2022,1383
Republic of Korea,Seoul,2015,23,45,60,2022,1384
Republic of Korea,Seoul,2015,23,45,60,2022,1385
Republic of Korea,Seoul,2016,26,48,58,2022,1386
Republic of Korea,Seoul,2017,25,44,56,2022,1387
Republic of Korea,Seoul,2018,23,40,53,2022,1388
Republic of Korea,Seoul,2019,25,42,53,2022,1389
Republic of Korea,Seoul,2020,21,35,45,2022,1390
Republic of Korea,Ulsan,2015,25,46,41,2022,1391
Republic of Korea,Ulsan,2016,23,43,41,2022,1392
Republic of Korea,Ulsan,2017,25,43,41,2022,1393
Republic of Korea,Ulsan,2018,23,40,38,2022,1394
Republic of Korea,Ulsan,2019,20,37,38,2022,1395
Republic of Korea,Ulsan,2020,17,30,34,2022,1396
Romania,Arad,2010,14.44,25.26,20,2022,1397
Romania,Bacau,2010,12.93,21.92,21,2022,1398
Romania,Baia Mare,2010,15.02,24.19,22,2022,1399
Romania,Baia Mare,2010,15.02,24.19,22,2022,1400
Romania,Brasov,2010,14.49,26.5,45,2022,1401
Romania,Bucharest,2010,23.81,34.07,36,2022,1402
Romania,Constanta,2010,15.36,31,27,2022,1403
Romania,Iasi,2010,18.52,22.09,17,2022,1404
Romania,Ploiesti,2010,17.78,33.46,34,2022,1405
Romania,Timisoara,2010,15.42,36.47,30,2022,1406
Senegal,Dakar,2013,30,130,36,2018,1407
Senegal,Dakar,2014,25,125,34,2022,1408
Senegal,Dakar,2015,33,145,20,2022,1409
Senegal,Dakar,2016,29.42,132.86,20,2022,1410
Senegal,Dakar,2017,19.86,143.31,22,2022,1411
Senegal,Dakar,2018,42,136.19,16,2022,1412
Singapore,Singapore,2018,15,29,26,2022,1413
Slovakia,Banska Bystrica,2010,23.97,50,38,2022,1414
Slovakia,Krompachy,2010,23.73,41.08,14,2022,1415
Slovakia,Martin,2010,25.08,36.94,33,2022,1416
Slovakia,Nitra,2010,22.46,34.75,8,2022,1417
Slovakia,Presov,2010,24.01,38.35,33,2022,1418
Slovakia,Zilina,2010,31.23,38.36,35,2022,1419
Slovenia,Ljubljana,2010,21.87,28.17,35,2022,1420
Slovenia,Maribor,2010,22.61,32.66,34,2022,1421
Slovenia,Stalcerji,2010,11.61,14.4,2,2022,1422
Slovenia,Stalcerji,2013,10.57,12.6,2,2022,1423
Slovenia,Stalcerji,2014,9.33,11.41,2,2022,1424
South Africa,Buffalo City,2021,12.63,29.04,11,2022,1425
South Africa,City Of Cape Town,2019,8.07,9.91,24,2022,1426
South Africa,City Of Cape Town,2020,8.92,25.25,8,2022,1427
South Africa,City Of Cape Town,2021,14.86,36.34,17,2022,1428
South Africa,City Of Johannesburg,2012,26.96,57.95,37,2022,1429
South Africa,City Of Johannesburg,2013,23.07,41.04,55,2022,1430
South Africa,City Of Johannesburg,2014,22.86,40.24,42,2022,1431
South Africa,City Of Johannesburg,2015,23.37,42.04,57,2022,1432
South Africa,City Of Johannesburg,2016,24.64,31.99,45,2022,1433
South Africa,City Of Johannesburg,2018,22.68,41.74,36,2022,1434
South Africa,City Of Johannesburg,2019,37.29,57.22,39,2022,1435
South Africa,City Of Johannesburg,2020,41.06,50.44,34,2022,1436
South Africa,City Of Johannesburg,2021,35.47,54.22,39,2022,1437
South Africa,City Of Tshwane,2018,31.33,55.88,27,2022,1438
South Africa,City Of Tshwane,2020,54.57,32.64,35,2022,1439
South Africa,City Of Tshwane,2021,23.39,130.19,21,2022,1440
South Africa,Dr Kenneth Kaunda,2019,43.41,48.82,13,2022,1441
